"Name","Tags","User","Created","Runtime","args.rnn_hidden","args.cnn_hidden","movingAverage","Training reward","args.num_revisit","args.model_id","optimizer","env index","params.lr","params.model","params.num_trajs","score"
"glowing-thunder-3056","training-hard","sy2938","2021-04-19T03:26:10.000Z","510","","","0.3898646965275248","0.7201404175511925","1","f88b0c64-a0be-11eb-891f-acde48001122.pt","","","","","",""
"comic-dream-3053","training-hard","sy2938","2021-04-19T03:16:58.000Z","549","","","0.5178903222516738","0.6049971176105373","1","af6faec8-a0bd-11eb-82cf-acde48001122.pt","","","","","",""
"ruby-bee-3052","training-easy","sy2938","2021-04-19T03:08:22.000Z","548","","","0.6577565634750044","1.115063939696029","1","7d03d62c-a0bc-11eb-b44e-acde48001122.pt","","","","","",""
"swift-armadillo-3051","training-hard","sy2938","2021-04-19T03:07:55.000Z","540","","","0.4725089137317582","0.6158994577658632","1","6c57dd98-a0bc-11eb-86d5-acde48001122.pt","","","","","",""
"splendid-tree-3050","training-easy","sy2938","2021-04-19T02:59:49.000Z","511","","","0.4035786206818557","0.6072478073226648","1","4b1499b8-a0bb-11eb-a15a-acde48001122.pt","","","","","",""
"rose-gorge-3049","training-hard","sy2938","2021-04-19T02:59:19.000Z","513","","","0.7639884082955177","0.5299500315481964","1","38a6de8a-a0bb-11eb-b648-acde48001122.pt","","","","","",""
"genial-rain-3046","training-easy","sy2938","2021-04-19T02:51:08.000Z","519","","","0.7052630869156928","0.11534908186740722","1","144707fa-a0ba-11eb-a426-acde48001122.pt","","","","","",""
"magic-violet-3045","training-hard","sy2938","2021-04-19T02:50:45.000Z","512","","","0.7103662216413795","1.1255677057201865","1","06a39dac-a0ba-11eb-9a17-acde48001122.pt","","","","","",""
"ethereal-waterfall-3044","training-easy","sy2938","2021-04-19T02:42:25.000Z","521","","","0.901785972321477","0.886741328989956","1","dcbf7da4-a0b8-11eb-87f4-acde48001122.pt","","","","","",""
"noble-universe-3043","training-hard","sy2938","2021-04-19T02:42:12.000Z","511","","","1.2364644587614748","0.43154713801800426","1","d4a2f9b6-a0b8-11eb-9239-acde48001122.pt","","","","","",""
"proud-thunder-3041","training-easy","sy2938","2021-04-19T02:33:18.000Z","545","","","0.05988847034950595","0.02476613047565479","1","98f746e8-a0b7-11eb-8790-acde48001122.pt","","","","","",""
"tough-snowball-3040","training-hard","sy2938","2021-04-19T02:33:13.000Z","537","","","0.9174496674924058","1.0293603778309262","1","961a8778-a0b7-11eb-b21f-acde48001122.pt","","","","","",""
"gentle-smoke-3039","training-hard","sy2938","2021-04-19T02:31:46.000Z","5","","","","","","","","","","","",""
"stellar-voice-3036","training-easy","sy2938","2021-04-19T02:28:49.000Z","183","","","","","","","","","","","",""
"divine-cosmos-3035","training-hard","sy2938","2021-04-19T02:23:43.000Z","481","","","0.937994840952456","0.6151751669381156","1","426fd1f6-a0b6-11eb-81b3-acde48001122.pt","","","","","",""
"devout-pyramid-3034","training-easy","sy2938","2021-04-19T02:20:55.000Z","472","","","1.0010452054279997","0.7082653196398496","1","de3d8c78-a0b5-11eb-ace9-acde48001122.pt","","","","","",""
"spring-star-3033","training-easy","sy2938","2021-04-19T02:19:17.000Z","60","","","NaN","0.7082653196380306","","","","","","","",""
"warm-deluge-2829","training-easy","sy2938","2021-04-17T09:26:51.000Z","22","","","","","","","","","","","",""
"distinctive-fire-2826","training-easy","sy2938","2021-04-17T09:12:21.000Z","868","","","","0.7082653196202955","","","","","","","",""
"resilient-blaze-2825","training-easy","sy2938","2021-04-17T08:57:46.000Z","874","","","","0.1586917910306056","","","","","","","",""
"confused-cherry-2824","training-easy","sy2938","2021-04-17T08:43:17.000Z","868","","","","0.7058461509354856","","","","","","","",""
"revived-butterfly-2821","training-easy","sy2938","2021-04-17T08:28:47.000Z","868","","","","0.11534908185876702","","","","","","","",""
"absurd-vortex-2817","training-easy","sy2938","2021-04-17T08:14:13.000Z","872","","","","0.6151751669549412","","","","","","","",""
"daily-surf-2816","training-easy","sy2938","2021-04-17T08:01:30.000Z","761","","","","0.9216160135799782","","","","","","","",""
"woven-bird-2815","training-hard","sy2938","2021-04-17T07:48:35.000Z","23","","","","","","","","","","","",""
